Time,rsrp(dBm),rsrq(dB),rssi(dBm),nr_rsrp(dBm),nr_rsrq(dB),nr_rssi(dBm),Sent Bytes,RATE(MBit/s),NR UL BW
Sat Aug 20 13:29:30 UTC 2022,-95,-9,-66,0,0,0,3694883,8.86225703782701,0
Sat Aug 20 13:29:33 UTC 2022,-96,-9,-67,0,0,0,10970669,19.5859088009156,0
Sat Aug 20 13:29:36 UTC 2022,-94,-9,-60,0,0,0,17569597,17.3821779377281,0
Sat Aug 20 13:29:39 UTC 2022,-92,-9,-64,0,0,0,25543451,21.4863243903994,0
Sat Aug 20 13:29:42 UTC 2022,-92,-8,-65,0,0,0,33637145,21.7494240260884,0
Sat Aug 20 13:29:45 UTC 2022,-94,-9,-61,0,0,0,41208037,20.1209971471526,0
Sat Aug 20 13:29:48 UTC 2022,-94,-9,-61,0,0,0,49587924,22.8574071665246,0
Sat Aug 20 13:29:51 UTC 2022,-95,-9,-66,0,0,0,57630686,21.2367666190133,0
Sat Aug 20 13:29:54 UTC 2022,-93,-8,-64,0,0,0,65017552,19.8436669653534,0
Sat Aug 20 13:29:57 UTC 2022,-93,-10,-60,0,0,0,73018370,21.6388879080076,0
Sat Aug 20 13:30:00 UTC 2022,-94,-10,-65,0,0,0,79667992,17.8580441425765,0
Sat Aug 20 13:30:03 UTC 2022,-95,-10,-64,0,0,0,86190284,17.3945545985076,0
Sat Aug 20 13:30:06 UTC 2022,-93,-9,-65,0,0,0,93239872,19.1107967150115,0
Sat Aug 20 13:30:09 UTC 2022,-95,-9,-68,0,0,0,99850546,17.4892072367301,0
Sat Aug 20 13:30:12 UTC 2022,-93,-8,-64,0,0,0,106501666,17.8234886467499,0
Sat Aug 20 13:30:15 UTC 2022,-84,-9,-50,0,0,0,115606510,24.7155117054762,0
Sat Aug 20 13:30:18 UTC 2022,-85,-9,-56,0,0,0,127057765,30.9632343361587,0
Sat Aug 20 13:30:21 UTC 2022,-89,-8,-61,0,0,0,138002153,29.3086688998903,0
Sat Aug 20 13:30:24 UTC 2022,-82,-8,-56,0,0,0,151804725,36.7540753060272,0
Sat Aug 20 13:30:27 UTC 2022,-87,-8,-58,0,0,0,162731137,29.3963174022682,0
Sat Aug 20 13:30:30 UTC 2022,-88,-8,-58,0,0,0,173847795,29.8545261837,0
Sat Aug 20 13:30:33 UTC 2022,-86,-8,-57,0,0,0,182621581,23.6903926700461,0
Sat Aug 20 13:30:36 UTC 2022,-87,-8,-58,0,0,0,193127147,27.6860041822988,0
Sat Aug 20 13:30:39 UTC 2022,-89,-8,-60,0,0,0,203526541,28.3038464261645,0
Sat Aug 20 13:30:42 UTC 2022,-90,-8,-61,0,0,0,214507709,28.5236304950197,0
Sat Aug 20 13:30:45 UTC 2022,-88,-8,-60,0,0,0,225955581,30.5556974097988,0
Sat Aug 20 13:30:48 UTC 2022,-86,-8,-59,0,0,0,236605120,28.8072026231168,0
Sat Aug 20 13:30:51 UTC 2022,-83,-8,-57,0,0,0,247401815,28.7875143298264,0
Sat Aug 20 13:30:54 UTC 2022,-88,-10,-58,0,0,0,258207147,28.9430686933707,0
Sat Aug 20 13:30:57 UTC 2022,-89,-8,-61,0,0,0,268721609,28.2480100532169,0
Sat Aug 20 13:31:00 UTC 2022,-90,-8,-62,0,0,0,278069129,24.6103335712952,0
Sat Aug 20 13:31:03 UTC 2022,-91,-8,-62,0,0,0,287181463,24.763242949292,0
Sat Aug 20 13:31:06 UTC 2022,-90,-8,-60,0,0,0,296524814,23.7471372608262,0
